tenantId,fullName,fatherName,dateOfBirth,phone,email,idType,idNumber,emergencyContactName,emergencyContactRelation,emergencyContactPhone,monthlyRent,rentPaid,paidOnDate,nextDueDate,billingCycle,createdAt,updatedAt,hostelId,hostelName,floorNumber,roomNumber,sharingType,bedId,bedLabel,paymentMethod,txnId
T10021,First21 Last21,Father 21,1995-05-22,9870000021,tenant21@example.test,driving_licence,ID500021,EC 21,father,9760000021,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-05,Hostel 05 - Owner 05,1,101,2 sharing,room-hostel-05-101-bed-1,Bed 1,cash,
T10022,First22 Last22,Father 22,1995-05-23,9870000022,tenant22@example.test,aadhar,ID500022,EC 22,mother,9760000022,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-05,Hostel 05 - Owner 05,1,102,2 sharing,room-hostel-05-102-bed-1,Bed 1,online,TXN000022
T10023,First23 Last23,Father 23,1995-05-24,9870000023,tenant23@example.test,pan,ID500023,EC 23,friend,9760000023,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-05,Hostel 05 - Owner 05,1,103,3 sharing,room-hostel-05-103-bed-1,Bed 1,upi,TXN000023
T10024,First24 Last24,Father 24,1995-05-25,9870000024,tenant24@example.test,driving_licence,ID500024,EC 24,sibling,9760000024,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-05,Hostel 05 - Owner 05,2,201,2 sharing,room-hostel-05-201-bed-1,Bed 1,cash,
T10025,First25 Last25,Father 25,1995-05-26,9870000025,tenant25@example.test,aadhar,ID500025,EC 25,father,9760000025,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-05,Hostel 05 - Owner 05,2,202,2 sharing,room-hostel-05-202-bed-1,Bed 1,online,TXN000025
T10026,First26 Last26,Father 26,1995-05-27,9870000026,tenant26@example.test,pan,ID500026,EC 26,mother,9760000026,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-06,Hostel 06 - Owner 01,1,101,2 sharing,room-hostel-06-101-bed-1,Bed 1,upi,TXN000026
T10027,First27 Last27,Father 27,1995-05-28,9870000027,tenant27@example.test,driving_licence,ID500027,EC 27,friend,9760000027,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-06,Hostel 06 - Owner 01,1,102,3 sharing,room-hostel-06-102-bed-1,Bed 1,cash,
T10028,First28 Last28,Father 28,1995-05-29,9870000028,tenant28@example.test,aadhar,ID500028,EC 28,sibling,9760000028,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-06,Hostel 06 - Owner 01,1,103,2 sharing,room-hostel-06-103-bed-1,Bed 1,online,TXN000028
T10029,First29 Last29,Father 29,1995-05-30,9870000029,tenant29@example.test,pan,ID500029,EC 29,father,9760000029,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-06,Hostel 06 - Owner 01,2,201,2 sharing,room-hostel-06-201-bed-1,Bed 1,upi,TXN000029
T10030,First30 Last30,Father 30,1995-05-31,9870000030,tenant30@example.test,driving_licence,ID500030,EC 30,mother,9760000030,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-06,Hostel 06 - Owner 01,2,202,2 sharing,room-hostel-06-202-bed-1,Bed 1,cash,
T10031,First31 Last31,Father 31,1995-05-01,9870000031,tenant31@example.test,aadhar,ID500031,EC 31,friend,9760000031,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-07,Hostel 07 - Owner 02,1,101,2 sharing,room-hostel-07-101-bed-1,Bed 1,online,TXN000031
T10032,First32 Last32,Father 32,1995-05-02,9870000032,tenant32@example.test,pan,ID500032,EC 32,sibling,9760000032,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-07,Hostel 07 - Owner 02,1,102,3 sharing,room-hostel-07-102-bed-1,Bed 1,upi,TXN000032
T10033,First33 Last33,Father 33,1995-05-03,9870000033,tenant33@example.test,driving_licence,ID500033,EC 33,father,9760000033,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-07,Hostel 07 - Owner 02,1,103,2 sharing,room-hostel-07-103-bed-1,Bed 1,cash,
T10034,First34 Last34,Father 34,1995-05-04,9870000034,tenant34@example.test,aadhar,ID500034,EC 34,mother,9760000034,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-07,Hostel 07 - Owner 02,2,201,2 sharing,room-hostel-07-201-bed-1,Bed 1,online,TXN000034
T10035,First35 Last35,Father 35,1995-05-05,9870000035,tenant35@example.test,pan,ID500035,EC 35,friend,9760000035,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-07,Hostel 07 - Owner 02,2,202,2 sharing,room-hostel-07-202-bed-1,Bed 1,upi,TXN000035
T10036,First36 Last36,Father 36,1995-05-06,9870000036,tenant36@example.test,driving_licence,ID500036,EC 36,sibling,9760000036,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-08,Hostel 08 - Owner 03,1,101,2 sharing,room-hostel-08-101-bed-1,Bed 1,cash,
T10037,First37 Last37,Father 37,1995-05-07,9870000037,tenant37@example.test,aadhar,ID500037,EC 37,father,9760000037,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-08,Hostel 08 - Owner 03,1,102,3 sharing,room-hostel-08-102-bed-1,Bed 1,online,TXN000037
T10038,First38 Last38,Father 38,1995-05-08,9870000038,tenant38@example.test,pan,ID500038,EC 38,mother,9760000038,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-08,Hostel 08 - Owner 03,1,103,2 sharing,room-hostel-08-103-bed-1,Bed 1,upi,TXN000038
T10039,First39 Last39,Father 39,1995-05-09,9870000039,tenant39@example.test,driving_licence,ID500039,EC 39,friend,9760000039,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-08,Hostel 08 - Owner 03,2,201,2 sharing,room-hostel-08-201-bed-1,Bed 1,cash,
T10040,First40 Last40,Father 40,1995-05-10,9870000040,tenant40@example.test,aadhar,ID500040,EC 40,sibling,9760000040,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-08,Hostel 08 - Owner 03,2,202,2 sharing,room-hostel-08-202-bed-1,Bed 1,online,TXN000040
T10041,First41 Last41,Father 41,1995-05-11,9870000041,tenant41@example.test,pan,ID500041,EC 41,father,9760000041,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-09,Hostel 09 - Owner 04,1,101,2 sharing,room-hostel-09-101-bed-1,Bed 1,upi,TXN000041
T10042,First42 Last42,Father 42,1995-05-12,9870000042,tenant42@example.test,driving_licence,ID500042,EC 42,mother,9760000042,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-09,Hostel 09 - Owner 04,1,102,3 sharing,room-hostel-09-102-bed-1,Bed 1,cash,
T10043,First43 Last43,Father 43,1995-05-13,9870000043,tenant43@example.test,aadhar,ID500043,EC 43,friend,9760000043,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-09,Hostel 09 - Owner 04,1,103,2 sharing,room-hostel-09-103-bed-1,Bed 1,online,TXN000043
T10044,First44 Last44,Father 44,1995-05-14,9870000044,tenant44@example.test,pan,ID500044,EC 44,sibling,9760000044,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-09,Hostel 09 - Owner 04,2,201,2 sharing,room-hostel-09-201-bed-1,Bed 1,upi,TXN000044
T10045,First45 Last45,Father 45,1995-05-15,9870000045,tenant45@example.test,driving_licence,ID500045,EC 45,father,9760000045,8000,8000,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-09,Hostel 09 - Owner 04,2,202,2 sharing,room-hostel-09-202-bed-1,Bed 1,cash,
T10046,First46 Last46,Father 46,1995-05-16,9870000046,tenant46@example.test,aadhar,ID500046,EC 46,mother,9760000046,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-10,Hostel 10 - Owner 05,1,101,2 sharing,room-hostel-10-101-bed-1,Bed 1,online,TXN000046
T10047,First47 Last47,Father 47,1995-05-17,9870000047,tenant47@example.test,pan,ID500047,EC 47,friend,9760000047,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-10,Hostel 10 - Owner 05,1,102,3 sharing,room-hostel-10-102-bed-1,Bed 1,upi,TXN000047
T10048,First48 Last48,Father 48,1995-05-18,9870000048,tenant48@example.test,driving_licence,ID500048,EC 48,sibling,9760000048,9200,9200,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-10,Hostel 10 - Owner 05,1,103,2 sharing,room-hostel-10-103-bed-1,Bed 1,cash,
T10049,First49 Last49,Father 49,1995-05-19,9870000049,tenant49@example.test,aadhar,ID500049,EC 49,father,9760000049,8400,8400,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-10,Hostel 10 - Owner 05,2,201,2 sharing,room-hostel-10-201-bed-1,Bed 1,online,TXN000049
T10050,First50 Last50,Father 50,1995-05-20,9870000050,tenant50@example.test,pan,ID500050,EC 50,mother,9760000050,8800,8800,2026-05-01,2026-06-01,monthly,2026-03-01,2026-03-01,owner-hostel-10,Hostel 10 - Owner 05,2,202,2 sharing,room-hostel-10-202-bed-1,Bed 1,upi,TXN000050
